Movie Name,Star 1,Star 2,Star 3,Star 4,Votes,Genre 1,Genre 2,Genre 3,Gross Collection,Certification
 Star Wars: Episode III - Revenge of the Sith , Hayden Christensen, Natalie Portman, Ewan McGregor, Samuel L. Jackson,813077,Action, Adventure, Fantasy, $380.26M,U
 Creed , Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashad,297587,Action, Drama, Sport, $109.77M,UA
 Train to Busan , Gong Yoo, Jung Yu-mi, Ma Dong-seok, Su-an Kim,235343,Action, Horror, Thriller, $2.13M,A
 Minority Report , Tom Cruise, Colin Farrell, Samantha Morton, Max von Sydow,565856,Action, Crime, Mystery, $132.07M,A
 Kung Fu Panda , Jack Black, Ian McShane, Angelina Jolie, Dustin Hoffman,489803,Animation, Action, Adventure, $215.43M,U
 Incredibles 2 , Craig T. Nelson, Holly Hunter, Sarah Vowell, Huck Milner,310499,Animation, Action, Adventure, $608.58M,UA
 Zombieland , Jesse Eisenberg, Emma Stone, Woody Harrelson, Abigail Breslin,596198,Action, Comedy, Horror, $75.59M,A
 Falling Down , Michael Douglas, Robert Duvall, Barbara Hershey, Rachel Ticotin,197219,Action, Crime, Drama, $40.90M,15+
 The Road Warrior , Mel Gibson, Bruce Spence, Michael Preston, Max Phipps,186404,Action, Adventure, Sci-Fi, $12.47M,UA
 Sherlock Holmes , Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong,648926,Action, Adventure, Mystery, $209.03M,16
 Dawn of the Planet of the Apes , Gary Oldman, Keri Russell, Andy Serkis, Kodi Smit-McPhee,452244,Action, Adventure, Drama, $208.55M,UA
 The Raid: Redemption , Iko Uwais, Ananda George, Ray Sahetapy, Donny Alamsyah,210477,Action, Crime, Thriller, $4.11M,A
 Lethal Weapon , Mel Gibson, Danny Glover, Gary Busey, Mitchell Ryan,266687,Action, Crime, Thriller, $65.21M,UA
 Rise of the Planet of the Apes , James Franco, Andy Serkis, Freida Pinto, Karin Konoval,540908,Action, Drama, Sci-Fi, $176.76M,UA
 Only the Brave , Josh Brolin, Miles Teller, Jeff Bridges, Jennifer Connelly,73232,Action, Biography, Drama, $18.34M,UA
 End of Watch , Jake Gyllenhaal, Michael Peña, Anna Kendrick, America Ferrera,257057,Action, Adventure, Crime, $41.00M,A
 Enter the Dragon , Bruce Lee, John Saxon, Jim Kelly, Ahna Capri,107947,Action, Crime, Drama, $25.00M,A
 Die Hard with a Vengeance , Bruce Willis, Jeremy Irons, Samuel L. Jackson, Graham Greene,396265,Action, Adventure, Thriller, $100.01M,A
 Where Eagles Dare , Richard Burton, Clint Eastwood, Mary Ure, Patrick Wymark,60625,Action, Adventure, War,N/A,U
 Battle Royale , Tatsuya Fujiwara, Aki Maeda, Tarô Yamamoto, Chiaki Kuriyama,188555,Action, Adventure, Drama,N/A,18
 Star Trek: First Contact , Patrick Stewart, Jonathan Frakes, Brent Spiner, LeVar Burton,128928,Action, Adventure, Drama, $92.00M,PG-13
 Hotel Mumbai , Dev Patel, Armie Hammer, Nazanin Boniadi, Anupam Kher,67112,Action, Drama, History, $9.65M,A
 Escape from Alcatraz , Clint Eastwood, Patrick McGoohan, Roberts Blossom, Jack Thibeau,141933,Action, Biography, Crime, $43.00M,U
 United 93 , David Alan Basche, Olivia Thirlby, Liza Colón-Zayas, J.J. Johnson,108458,Action, Drama, History, $31.57M,UA
